evidence_id,authority,title,url,evidence_class,supported_claim,limitation,access_date
LOCAL-GRAPH,ERA-AOM,Merged livestock graph at dc36ae5bb3977e1f63074334f6b3ac90200ffb4c,../../dist/livestock-staging/nodes.csv,local-model,"Complete current hierarchy, definitions, and material-facet use can be audited deterministically from merged governed outputs.",Current graph records ERA decisions and cannot establish external physical or chemical truth.,2026-08-21
AOM-SCHEMA,ERA-AOM,AOM semantic schema,../../dist/releases/2026.1-rc.1/aom-schema.ttl,local-schema,"Presentation form, bulk consistency, moisture condition, process, composition state, component-retention state, and chemical constituent are independent governed relations.",Schema remains subject to review and downstream compatibility planning.,2026-08-21
ADR-0048,ERA-AOM,ADR 0048 chemical identity composition and component model,../../docs/decisions/0048-chemical-identity-composition-and-component-model.md,accepted-decision,"Chemical identity, measured composition, material component, and product use remain independent; Cohort E owns whole-milk, native-fat, form, and held constituent cases.",Accepted architecture does not decide Cohort E row dispositions.,2026-08-21
FOODON-FACETS,FoodOn,FoodOn facets,https://foodon.org/food-facets/,external-ontology-design,"Food description combines independent facets and relations rather than forcing source, process, physical quality, and composition into one hierarchy.",FoodOn includes human-food and inherited LanguaL scope and is not a feed-regulatory catalogue.,2026-08-21
FOODON-PHYSICAL,FoodOn,Food physical quality facet,https://foodon.org/food-facets/food-physical-quality/,external-ontology-design,"Physical quality distinguishes liquid, semiliquid, semisolid, and solid qualities while shape and form remain separate refinements.",FoodOn terms require concept-level mapping review before exact AOM alignment.,2026-08-21
FOODON-STRUCTURE,FoodOn,FoodOn structure and design,https://foodon.org/design/foodon-structure/,external-ontology-design,"Observable qualities and transformation processes occupy separate branches and are linked to food objects by relations.",Architecture guidance does not define feed-industry labels or thresholds.,2026-08-21
FOODON-CHEMICAL,FoodOn,Food chemical component facet,https://foodon.org/food-facets/food-chemical-component/,external-ontology-design,"Carbohydrates, proteins, lipids, minerals, and related components are reusable chemical-component identities independent of measured amount.",FoodOn component hierarchy does not by itself establish exact ChEBI equivalence.,2026-08-21
CHEBI-CARBOHYDRATE,ChEBI,Carbohydrate CHEBI 16646,https://www.ebi.ac.uk/chebi/CHEBI%3A16646,chemical-authority,"Carbohydrate has a governed chemical-entity identity suitable for concept-level mapping.",Broad class does not identify measured carbohydrate content or feed-material use.,2026-08-21
CHEBI-PROTEIN,ChEBI,Protein CHEBI 36080,https://www.ebi.ac.uk/chebi/CHEBI%3A36080,chemical-authority,"Protein has a governed chemical-entity identity suitable for concept-level mapping.",Broad class does not identify measured protein content or feed-material use.,2026-08-21
CHEBI-STARCH,ChEBI,Starch CHEBI 28017,https://www.ebi.ac.uk/chebi/CHEBI%3A28017,chemical-authority,"Starch has a governed chemical identity distinct from starch concentration and starch feed-material products.",Exact AOM mapping still requires label-collision and scope review.,2026-08-21
CHEBI-ESSENTIAL-OIL,ChEBI,Essential oil CHEBI 83630,https://www.ebi.ac.uk/chebi/CHEBI%3A83630,chemical-authority,"Essential oil is represented as a chemical mixture and can serve as a constituent identity.",Mixture identity does not establish regulatory additive or feed-material use.,2026-08-21
CHEBI-LIPID,ChEBI,Lipid CHEBI 18059,https://www.ebi.ac.uk/chebi/CHEBI%3A18059,chemical-authority,"Lipid supplies a broad external mapping candidate for fat and oil constituent categories.",Fat and oil are context-sensitive mixture categories and should not receive exact lipid equivalence without narrower review.,2026-08-21
FAO-ASH,FAO,Quality assurance for animal feed analysis laboratories,https://www.fao.org/4/i2441e/i2441e00.pdf,analytical-authority,"Ash is residue remaining after controlled incineration and is an analytical result rather than one chemical constituent.",Method definition does not identify each mineral species in residue.,2026-08-21
FEEDIPEDIA-GLOSSARY,Feedipedia,Feedipedia glossary,https://feedipedia.review.fao.org/content/glossary,feed-authority,"Ash approximates mineral matter after incineration and dried describes moisture removal rather than particle form.",Glossary definitions remain broad and material-specific evidence is still required.,2026-08-21
FAO-BLOCKS,FAO,Experiences with urea-molasses multinutrient blocks,https://www.fao.org/4/w4988e/W4988E10.htm,feed-practice-authority,"A coherent block is a physical presentation that animals may consume by licking; block form and lick delivery are related but not synonymous.",Publication concerns multinutrient blocks and does not define every mineral formulation.,2026-08-21
FEEDIPEDIA-MINERAL-BLOCK,Feedipedia,Urea-molasses multinutrient blocks,https://feedipedia.review.fao.org/node/564,feed-authority,"Feed blocks are solid multi-component formulations intended for gradual consumption.",Specific composition and regulatory status vary by formulation and jurisdiction.,2026-08-21
FEEDIPEDIA-POULTRY-OFFAL,Feedipedia,Poultry offal meal,https://www.feedipedia.org/node/12474,feed-authority,"The mapped material is explicitly poultry offal meal and carries dried-meal composition data.",Nutrient-table page relies on linked family description for general production details.,2026-08-21
FEEDIPEDIA-POULTRY-BYPRODUCT,Feedipedia,Poultry by-product meal,https://www.feedipedia.org/node/214,feed-authority,"Poultry offal meal belongs to animal by-products and poultry slaughter by-products that are rendered, ground, and dried.",Family-level process description should not be inherited automatically without confirming mapped-page scope.,2026-08-21
EU-CATALOGUE,European Union,Catalogue of feed materials consolidated text,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02013R0068-20220724,regulatory-authority,"Feed-material names and processing qualifiers distinguish product identity from analytical composition and presentation.",EU legal categories do not define universal ontology hierarchy outside regulatory scope.,2026-08-21
