concept_id,proposed_label,normalized_label,matched_concept_ids,external_label_match,decision,reviewer,review_date,evidence
AOM_101163,Enzymatic or biochemical feed processes,enzymatic or biochemical feed processes,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101164,Feed constituent transformation processes,feed constituent transformation processes,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101165,Feed preservation and stabilisation processes,feed preservation and stabilisation processes,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101166,Feed component addition and application processes,feed component addition and application processes,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101167,Feed moisture addition and conditioning processes,feed moisture addition and conditioning processes,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101168,Feed-process benefits,feed process benefits,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101169,Digestibility improvement,digestibility improvement,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101170,Nutrient availability improvement,nutrient availability improvement,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101171,Antinutritional-factor reduction,antinutritional factor reduction,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101172,Feed safety improvement,feed safety improvement,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101173,Palatability or intake improvement,palatability or intake improvement,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101174,Preservation or storage-stability improvement,preservation or storage stability improvement,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101175,Handling or mixing improvement,handling or mixing improvement,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101176,Composition tailoring,composition tailoring,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101177,Process-output recovery,process output recovery,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101178,Dust control,dust control,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101179,Downstream-process facilitation,downstream process facilitation,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
AOM_101069,Fat removal,fat removal,,false,approved-no-collision,Pete Steward,2026-08-18,data/livestock-staging/labels.csv;data/livestock-staging/approved_label_additions.csv;data/livestock-staging/approved_external_resource_labels.csv;docs/decisions/0047-feed-process-objective-benefit-and-effect-model.md
