source_name,accepted_name,rank,legacy_ncbi_taxon_id,proposed_ncbi_taxon_id,decision_action,status,reviewer,review_date,evidence,rationale
Arecaceae,Arecaceae,family,NCBITaxon_4710,NCBITaxon_4710,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4710,Preserve family rank without species inference.
Medicago sativa,Medicago sativa,species,NCBITaxon_3879,NCBITaxon_3879,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3879,Exact species candidate.
Leucaena leucocephala,Leucaena leucocephala,species,NCBITaxon_3866,NCBITaxon_3866,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3866,Exact species candidate.
Calliandra calothyrsus,Calliandra calothyrsus,species,NCBITaxon_560018,NCBITaxon_560018,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=560018,Exact species candidate.
Brassica napus,Brassica napus,species,NCBITaxon_4710,NCBITaxon_3708,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3708,Legacy target is Arecaceae family and must be replaced by Brassica napus species ID.
Panicum maximum,Megathyrsus maximus,species,NCBITaxon_59788,NCBITaxon_59788,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59788,Preserve source synonym and use current accepted name at same identifier.
Avena sativa,Avena sativa,species,NCBITaxon_4498,NCBITaxon_4498,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4498,Exact species candidate.
Sesbania sesban,Sesbania sesban,species,NCBITaxon_76396,NCBITaxon_76396,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=76396,Exact species candidate.
Lablab purpureus,Lablab purpureus,species,NCBITaxon_35936,NCBITaxon_35936,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=35936,Exact species candidate; Dolichos lablab synonym requires same-ID review separately.
Brevoortia,Brevoortia,genus,NCBITaxon_55119,NCBITaxon_224706,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=224706,Legacy target is Alosinae subfamily and must be replaced by Brevoortia genus ID.
Acacia tortilis,Vachellia tortilis,species,NCBITaxon_138046,NCBITaxon_138046,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=138046,Preserve source synonym and current accepted name at same identifier.
Trifolium alexandrinum,Trifolium alexandrinum,species,NCBITaxon_97006,NCBITaxon_97006,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=97006,Exact species candidate.
Sorghum bicolor,Sorghum bicolor,species,NCBITaxon_4558,NCBITaxon_4558,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4558,Exact species candidate.
Eragrostis curvula,Eragrostis curvula,species,NCBITaxon_38414,NCBITaxon_38414,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=38414,Exact species candidate.
sodium carboxymethyl cellulose,,,,,hold_non_taxon,proposed-for-review,,,,Chemical material is not a biological taxon and must never receive taxon IRI.
