source_name,accepted_name,rank,legacy_ncbi_taxon_id,proposed_ncbi_taxon_id,decision_action,status,reviewer,review_date,evidence,rationale
Prosopis juliflora,Neltuma juliflora,species,NCBITaxon_13230,NCBITaxon_3128859,replace_retired,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3128859,Legacy ID redirects; preserve source synonym and use current ID and name.
Cocos nucifera,Cocos nucifera,species,NCBITaxon_13894,NCBITaxon_13894,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=13894,Exact species candidate.
Andropogon gayanus,Andropogon gayanus,species,NCBITaxon_1092577,NCBITaxon_1092577,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1092577,Exact species candidate.
Cynadon dactylon,Cynodon dactylon,species,,NCBITaxon_28909,accept_as_misspelling,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28909,Correct misspelled source genus without fuzzy matching.
Dolichos lablab,Lablab purpureus,species,NCBITaxon_35936,NCBITaxon_35936,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=35936,Use current accepted name at unchanged identifier.
Vachellia sieberiana,Vachellia sieberiana,species,NCBITaxon_546664,NCBITaxon_546664,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=546664,Exact species candidate.
Vicia,Vicia,genus,NCBITaxon_3904,NCBITaxon_3904,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3904,Preserve genus rank without species inference.
Coffea,Coffea,genus,NCBITaxon_169640;NCBITaxon_3641,NCBITaxon_13442,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=13442,Legacy targets identify Coffeeae tribe and Theobroma cacao; replace with Coffea genus.
Mucuna pruriens,Mucuna pruriens,species,NCBITaxon_157652,NCBITaxon_157652,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=157652,Exact species candidate.
Linum usitatissimum,Linum usitatissimum,species,NCBITaxon_180498;NCBITaxon_4006,NCBITaxon_4006,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4006,Discard conflicting Jatropha target and retain exact flax species ID.
Hyparrhenia rufa,Hyparrhenia rufa,species,NCBITaxon_167342,NCBITaxon_167342,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167342,Exact species candidate.
Adansonia digitata,Adansonia digitata,species,NCBITaxon_69109,NCBITaxon_69109,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=69109,Exact species candidate.
Crotalaria ochroleuca,Crotalaria ochroleuca,species,NCBITaxon_165772,NCBITaxon_165772,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=165772,Exact species candidate.
Ensete ventricosum,Ensete ventricosum,species,NCBITaxon_4639,NCBITaxon_4639,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4639,Exact species candidate.
Phoenix dactylifera,Phoenix dactylifera,species,NCBITaxon_42345,NCBITaxon_42345,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42345,Exact species candidate.
Hoodia gordonii,Hoodia gordonii,species,NCBITaxon_197266,NCBITaxon_197266,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=197266,Exact species candidate.
Macroptilium atropurpureum,Macroptilium atropurpureum,species,NCBITaxon_90550,NCBITaxon_90550,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=90550,Exact species candidate.
Vitellaria paradoxa,Vitellaria paradoxa,species,NCBITaxon_292385;NCBITaxon_4232,NCBITaxon_292385,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=292385,Discard conflicting Helianthus target and retain exact shea species ID.
Megathyrsus maximus,Megathyrsus maximus,species,NCBITaxon_59788,NCBITaxon_59788,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59788,Exact current-name species candidate.
Eichhornia crassipes,Pontederia crassipes,species,NCBITaxon_44947,NCBITaxon_44947,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=44947,Use current accepted name at unchanged identifier.
Ficus natalensis,Ficus natalensis,species,NCBITaxon_309307,NCBITaxon_309307,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=309307,Exact species candidate.
Cenchrus ciliaris,Cenchrus ciliaris,species,NCBITaxon_35872,NCBITaxon_35872,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=35872,Exact species candidate.
Vachellia tortilis,Vachellia tortilis,species,NCBITaxon_138046,NCBITaxon_138046,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=138046,Exact current-name species candidate.
Ficus thonningii,Ficus thonningii,species,NCBITaxon_309310,NCBITaxon_309310,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=309310,Exact species candidate.
Tithonia diversifolia,Tithonia diversifolia,species,NCBITaxon_684020,NCBITaxon_684020,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=684020,Exact species candidate.
Prosopis africana,Anonychium africanum,species,NCBITaxon_433926,NCBITaxon_433926,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=433926,Use current accepted name at unchanged identifier.
Hyparrhenia spp,Hyparrhenia,genus,NCBITaxon_42078,NCBITaxon_42078,map_unspecified_species_to_genus,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42078,Source explicitly denotes unspecified species; preserve genus rank.
Leucaena pallida,Leucaena pallida,species,NCBITaxon_190754,NCBITaxon_190754,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=190754,Exact species candidate.
Leucaena padilla,Leucaena pallida,species,NCBITaxon_190754,NCBITaxon_190754,accept_as_misspelling,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=190754,Correct source misspelling at unchanged identifier.
Moringa stenopetala,Moringa stenopetala,species,NCBITaxon_161034,NCBITaxon_161034,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=161034,Exact species candidate.
