evidence_id,authority,title,url,evidence_class,supported_claim,limitation,access_date
ERA-ADR-0044,ERA-AOM,Feed taxonomy axis reclassification decision,../../docs/decisions/0044-feed-taxonomy-axis-reclassification.md,accepted-decision,"AOM_000531 through AOM_000535 are approved retirements whose schema-field use moves to properties or component representation.","Accepted decision did not fully specify browser deprecation serialization or hierarchy suppression.",2026-08-13
ERA-BINDINGS,ERA-AOM,Approved semantic bindings,../../data/livestock-staging/approved_semantic_bindings.csv,governed-contract,"All five IDs have approved target class/property/value contracts and compatibility policies.","Several target domains conflict with actual row-level pipeline placement and need reviewed correction.",2026-08-13
ERA-RETIREMENTS,ERA-AOM,Approved concept retirements,../../data/livestock-staging/approved_concept_retirements.csv,governed-decision,"All five IDs are approved retirements without replacement concepts.","Retirement table currently changes status but does not suppress source-derived hierarchy edges.",2026-08-13
ERA-NORMALIZER,ERA-AOM,Livestock release normalizer,../../scripts/normalize_livestock_release.py,implementation,"Normalizer marks retirements deprecated and serializes broader relations from source hierarchy.","Current serializer emits custom era:status but not owl:deprecated and has no retirement browse-edge rule.",2026-08-13
ERA-PIPELINE,ERAgriculture,Phase-2 semantic ingestion contract,https://github.com/ERAgriculture/era-data-pipeline/blob/e6b86ce/config/semantic/era-aom-phase2-contract.csv,consumer-contract,"Pipeline consumes five IDs as legacy contract keys and dual-publishes normalized ingredient component fields.","Pre-cutover implementation; private production inputs prevent this review from proving full release behavior.",2026-08-13
W3C-SKOS,W3C,SKOS Simple Knowledge Organization System Reference,https://www.w3.org/TR/skos-reference/,standard,"SKOS separates concept labels and notes from informal concept hierarchy; broader relates concepts for navigation.","SKOS defines no general concept-retirement property.",2026-08-13
W3C-OWL2,W3C,OWL 2 Structural Specification annotation properties,https://www.w3.org/TR/owl2-syntax/#Annotation_Properties,standard,"owl:deprecated with boolean true specifies that an IRI is deprecated.","Deprecation annotation does not remove hierarchy edges or define migration target.",2026-08-13
SKOSMOS-CONFIG,National Library of Finland,Skosmos 3.3 VocabularyConfig,https://github.com/NatLibFi/Skosmos/blob/v3.3/src/model/VocabularyConfig.php,software-primary-source,"skosmos:showDeprecated defaults false and governs deprecated search/index inclusion.","Setting affects search/index; deployment still needs explicit local acceptance testing.",2026-08-13
SKOSMOS-SPARQL,National Library of Finland,Skosmos 3.3 GenericSparql,https://github.com/NatLibFi/Skosmos/blob/v3.3/src/model/sparql/GenericSparql.php,software-primary-source,"Search queries filter owl:deprecated when disabled; narrower hierarchy query does not filter deprecated children.","Behavior is version-specific to deployed Skosmos 3.3.",2026-08-13
QUDT-QV,QUDT,QuantityValue schema class,https://qudt.org/schema/qudt/QuantityValue,standard-vocabulary,"Ingredient proportion can use structured QUDT quantity values.","Class alone does not establish denominator basis or validate ERA source units.",2026-08-13
LEGACY-EOL,INRAE,Legacy EOL descriptor mappings,http://opendata.inra.fr/EOL/EOL_0000350,legacy-external-mapping,"Four legacy field concepts retain related mappings to EOL descriptor resources.","Endpoints returned internal errors during review; mappings are provenance only and cannot serve as current authority.",2026-08-13
LOCAL-CLEAN-LOAD,ERA-AOM,Local Skosmos clean-load verification,http://127.0.0.1:9090/livestock/,local-acceptance,"Clean merged-baseline reload produced 37517 triples and 3494 subjects and removed all triples for rejected AOM_101156 through AOM_101158.","Localhost evidence is reproducible locally but not independently web-accessible.",2026-08-13
