evidence_id,authority,title,url,evidence_class,supported_claim,limitation,access_date
EU-767-2009,European Parliament and Council,Regulation (EC) No 767/2009,https://eur-lex.europa.eu/eli/reg/2009/767/oj/eng,regulation,"Feed materials primarily meet nutritional needs and may be used directly, after processing, in compound feed, or as premixture carriers.","EU market definition; does not classify every ambiguous AOM label or establish global legal status.",2026-08-13
EU-1831-2003,European Parliament and Council,Regulation (EC) No 1831/2003,https://eur-lex.europa.eu/eli/reg/2003/1831/oj/eng,regulation,"Feed additives are substances, microorganisms, or preparations other than feed materials and premixtures, intentionally added for listed functions.","Authorization is product-, use-, species-, dose-, and time-specific.",2026-08-13
EU-2011-25,European Commission,Recommendation 2011/25/EU,https://eur-lex.europa.eu/eli/reco/2011/25/oj/eng,official-guideline,"A product cannot simultaneously be a feed material and feed additive in this legal classification; production, purity, safety, mode of use, and functionality must be considered together.","Non-binding EU guidance; low incorporation rate alone is not decisive and case-by-case assessment remains necessary.",2026-08-13
EU-2021-758,European Commission,Implementing Regulation (EU) 2021/758,https://eur-lex.europa.eu/eli/reg_impl/2021/758/oj/eng,implementing-regulation,"Confirms case-by-case product classification using processing, chemical definition, standardisation, safety, mode of use, and functionality.","Covers specified products and does not automatically classify unrelated AOM concepts.",2026-08-13
EU-2022-1104,European Commission,Regulation (EU) 2022/1104 amending the Catalogue of feed materials,https://eur-lex.europa.eu/eli/reg/2022/1104/oj/eng,official-catalogue,"Catalogue entries 13.8.1 and 13.8.2 identify crude glycerine/glycerol and refined glycerine/glycerol as feed materials.","Catalogue identity includes production and compositional conditions; generic AOM Glycerol still needs scope alignment.",2026-08-13
FEEDIPEDIA-CATEGORIES,Feedipedia,List of feeds and feed categories,https://www.feedipedia.org/content/feeds?category=13591,authority-navigation,"Feedipedia browsing separates Forage plants, Plant products/by-products, Feeds of animal origin, and Other feeds.","Category navigation is not a formal ontology, disjointness axiom, or legal product classification.",2026-08-13
AGROVOC-CROPS,FAO AGROVOC,Crops,https://agrovoc.fao.org/browse/agrovoc/en/page/c_1972,authority-vocabulary,"Crops are cultivated for food, fibre, livestock fodder, or other uses; feed crops are narrower than crops.","Agricultural terminology does not directly determine AOM feed-material hierarchy.",2026-08-13
AGROVOC-FEED-CROPS,FAO AGROVOC,Feed crops,https://agrovoc.fao.org/browse/agrovoc/en/page/c_2829,authority-vocabulary,"Feed crops are crops cultivated explicitly or primarily for feeding animals and are used as forage.","Use relations do not identify a particular harvested feed material or processing state.",2026-08-13
AGROVOC-FORAGE,FAO AGROVOC,Forage,https://agrovoc.fao.org/browse/agrovoc/en/page/c_36108,authority-vocabulary,"Forage is plants or plant parts other than separated grain that are fed or grazed and may be fresh, dry, or ensiled.","Definition describes feed use/material scope, not a disjoint biological plant class.",2026-08-13
LOCAL-GRAPH,ERA AOM,AOM Livestock staging graph,dist/livestock-staging/nodes.csv;dist/livestock-staging/edges.csv,governed-repository-evidence,"Provides current labels, hierarchy, branch membership, and descendant counts used by the reproducible inventory.","Current generated graph exposes modelling state and may include defects; placement is not acceptance evidence.",2026-08-13
SOURCE-WORKBOOK,ERA source workbook,Governed livestock source identity,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,source-workbook,"Establishes occurrence and source labels for Glycerol and Pleurotus ostreatus in the ingredient data context.","Does not by itself establish exact chemical scope, biological material part, regulatory status, or legal feed-product kind.",2026-08-13
